id,tier,site,region,state,type,camper_signal,water_signal,washroom_signal,electricity_signal,status,source_url,next_action
1,A,KAVA Eco Camp and Caravan Park,"Manthuruthy, Malampuzha, Palakkad",Kerala,Hybrid caravan park,"Facilities for 6 large caravans and 6 camper vans","Drinking water listed","Tourist rooms/driver dorm plus sewage treatment","EV charging points listed",High-priority onboarding,https://www.keralatourism.org/newsletter/news/2025/kava-eco-camp-and-caravan-park-a-new-benchmark/2292,"Verify bay dimensions, tariffs, plug type, waste policy"
2,A,Caravan Meadows,"Nallathanni, Vagamon-Elappara Road, Idukki",Kerala,Official caravan park,"Kerala Tourism identifies it as caravan park","Water filling listed","Waste handling and park facilities listed","Electric points listed",High-priority onboarding,https://www.keralatourism.org/newsletter/news/2022/wagamon-caravan-park/2058,"Verify current operations and booking contact"
3,A,CaravaanLife - A Mountain Lake Escapade,"Murshet, Nashik region",Maharashtra,Caravansite/campsite,"Listed as Caravansite/Campsite","Network states water refilling","Network states safe fenced parks and waste disposal","Network states electricity",Lead,https://caravaanlife.com/,"Confirm exact host and non-network camper acceptance"
4,A,CaravaanLife - The Chronicles of Wakan,"Wakan, Konkan region",Maharashtra,Caravansite/campsite,"Listed as Caravansite/Campsite","Network states water refilling","Network states safe fenced parks and waste disposal","Network states electricity",Lead,https://caravaanlife.com/,"Confirm exact host and GPS"
5,A,CaravaanLife - An Exquisite Backwater Getaway,"Panshet Backwaters, Pune region",Maharashtra,Caravansite/campsite,"Listed as Caravansite/Campsite","Network states water refilling","Network states safe fenced parks and waste disposal","Network states electricity",Lead,https://caravaanlife.com/,"Confirm exact host and monsoon access"
6,A,CaravaanLife - Enjoy a Riverside Escapade,"Satara, Pune region",Maharashtra,Caravansite/campsite,"Listed as Caravansite/Campsite","Network states water refilling","Network states safe fenced parks and waste disposal","Network states electricity",Lead,https://caravaanlife.com/,"Confirm road width and river safety"
7,A,CaravaanLife - Of Valleys and Lakes,"Lonavala, Pune region",Maharashtra,Caravansite/campsite,"Listed as Caravansite/Campsite","Network states water refilling","Network states safe fenced parks and waste disposal","Network states electricity",Lead,https://caravaanlife.com/,"Confirm current operator and BYOT rules"
8,A,MTDC resort parking network,Multiple,Maharashtra,Caravan parking network,"MTDC resort parking for caravans reported","Water fill-up reported","Toilet use at resorts reported","Electricity connections reported",Partnership lead,https://www.overdrive.in/news-cars-auto/features/counter-to-covid-mtdc-flags-off-its-motorhome-and-campervan,"Ask MTDC for participating resorts and tariffs"
9,A,White Water Village,"Shillong / Umtrew side",Meghalaya,Overlander campsite,"Dedicated spot to park overlanders and set up camp","Drinking water listed","Toilet and bathroom listed","Charging point listed",High-priority onboarding,https://www.camping-co.com/destination/White-Water-Village/,"Verify direct booking and campervan size limits"
10,A,Sohra View Lodge,Cherrapunji,Meghalaya,Overlander campsite/lodge,"Booking UI includes caravan/rootop/ground tent/rooms","Drinking water listed","Toilet and bathroom listed","Charging point listed",Lead,https://www.camping-co.com/destination/Sohra-View-Lodge/,"Verify direct host acceptance outside Camping Co package"
