Insight ID,Date Added,Source Type,Source Name,URL,Query,Location,Persona,Pain Point,Demand Signal,Evidence Summary,Safety/Legal Concern,Competitor Mention,Lead Type,Confidence,Next Action,Status
LEAD-0001,2026-05-25,Public business lead,KAVA Eco Camp and Caravan Park,https://www.keralatourism.org/newsletter/news/2025/kava-eco-camp-and-caravan-park-a-new-benchmark/2292,"Manthuruthy, Malampuzha, Palakkad Hybrid caravan park camping lead","Manthuruthy, Malampuzha, Palakkad",First-time Camper,Water,Strong,"Facilities for 6 large caravans and 6 camper vans Drinking water listed Tourist rooms/driver dorm plus sewage treatment EV charging points listed Verify bay dimensions, tariffs, plug type, waste policy",Water,,Road Stop Lead,High,"Verify bay dimensions, tariffs, plug type, waste policy",Reviewed
LEAD-0002,2026-05-25,Public business lead,Caravan Meadows,https://www.keralatourism.org/newsletter/news/2022/wagamon-caravan-park/2058,"Nallathanni, Vagamon-Elappara Road, Idukki Official caravan park camping lead","Nallathanni, Vagamon-Elappara Road, Idukki",First-time Camper,Water|Road Access,Strong,Kerala Tourism identifies it as caravan park Water filling listed Waste handling and park facilities listed Electric points listed Verify current operations and booking contact,Water; Road Access,,Road Stop Lead,High,Verify current operations and booking contact,Reviewed
LEAD-0003,2026-05-25,Public business lead,CaravaanLife - A Mountain Lake Escapade,https://caravaanlife.com/,"Murshet, Nashik region Caravansite/campsite camping lead","Murshet, Nashik region",Private-Land Host,Safety|Water|Mobile Signal,Strong,Listed as Caravansite/Campsite Network states water refilling Network states safe fenced parks and waste disposal Network states electricity Confirm exact host and non-network camper acceptance,Safety; Water,,Road Stop Lead,High,Confirm exact host and non-network camper acceptance,Reviewed
LEAD-0004,2026-05-25,Public business lead,CaravaanLife - The Chronicles of Wakan,https://caravaanlife.com/,"Wakan, Konkan region Caravansite/campsite camping lead","Wakan, Konkan region",Private-Land Host,Safety|Water|Mobile Signal,Strong,Listed as Caravansite/Campsite Network states water refilling Network states safe fenced parks and waste disposal Network states electricity Confirm exact host and GPS,Safety; Water,,Road Stop Lead,High,Confirm exact host and GPS,Reviewed
LEAD-0005,2026-05-25,Public business lead,CaravaanLife - An Exquisite Backwater Getaway,https://caravaanlife.com/,"Panshet Backwaters, Pune region Caravansite/campsite camping lead","Panshet Backwaters, Pune region",Private-Land Host,Safety|Water|Weather|Mobile Signal,Strong,Listed as Caravansite/Campsite Network states water refilling Network states safe fenced parks and waste disposal Network states electricity Confirm exact host and monsoon access,Safety; Water,,Road Stop Lead,High,Confirm exact host and monsoon access,Reviewed
LEAD-0006,2026-05-25,Public business lead,CaravaanLife - Enjoy a Riverside Escapade,https://caravaanlife.com/,"Satara, Pune region Caravansite/campsite camping lead","Satara, Pune region",First-time Camper,Safety|Water|Road Access|Mobile Signal,Strong,Listed as Caravansite/Campsite Network states water refilling Network states safe fenced parks and waste disposal Network states electricity Confirm road width and river safety,Safety; Water; Road Access,,Road Stop Lead,High,Confirm road width and river safety,Reviewed
LEAD-0007,2026-05-25,Public business lead,CaravaanLife - Of Valleys and Lakes,https://caravaanlife.com/,"Lonavala, Pune region Caravansite/campsite camping lead","Lonavala, Pune region",First-time Camper,Safety|Water|Mobile Signal,Strong,Listed as Caravansite/Campsite Network states water refilling Network states safe fenced parks and waste disposal Network states electricity Confirm current operator and BYOT rules,Safety; Water,,Road Stop Lead,High,Confirm current operator and BYOT rules,Reviewed
LEAD-0008,2026-05-25,Public business lead,MTDC resort parking network,https://www.overdrive.in/news-cars-auto/features/counter-to-covid-mtdc-flags-off-its-motorhome-and-campervan,Multiple Caravan parking network camping lead,Multiple,First-time Camper,Washroom|Water|Road Access|Mobile Signal,Strong,MTDC resort parking for caravans reported Water fill-up reported Toilet use at resorts reported Electricity connections reported Ask MTDC for participating resorts and tariffs,Washroom; Water; Road Access,,Road Stop Lead,High,Ask MTDC for participating resorts and tariffs,Reviewed
LEAD-0009,2026-05-25,Public business lead,White Water Village,https://www.camping-co.com/destination/White-Water-Village/,Shillong / Umtrew side Overlander campsite camping lead,Shillong / Umtrew side,Road Traveler,Washroom|Water,Strong,Dedicated spot to park overlanders and set up camp Drinking water listed Toilet and bathroom listed Charging point listed Verify direct booking and campervan size limits,Washroom; Water,,Road Stop Lead,High,Verify direct booking and campervan size limits,Reviewed
LEAD-0010,2026-05-25,Public business lead,Sohra View Lodge,https://www.camping-co.com/destination/Sohra-View-Lodge/,Cherrapunji Overlander campsite/lodge camping lead,Cherrapunji,Private-Land Host,Washroom|Water|Spammy Organizers|Gear,Strong,Booking UI includes caravan/rootop/ground tent/rooms Drinking water listed Toilet and bathroom listed Charging point listed Verify direct host acceptance outside Camping Co package,Washroom; Water,,Road Stop Lead,High,Verify direct host acceptance outside Camping Co package,Reviewed
